MON,lat,lon,depth,carbon_ugC_l,SST,BATHY,CHLO,logchlo,logdepth,logBiom
3,69.207,36.172,110,0.0336,2.289999949,-188.97638,0.324379057,-0.488947193,2.041392685,-1.473660723
9,69.207,36.172,111,0.0315,9.144999796,-188.97638,1.105455279,0.043541178,2.045322979,-1.501689446
3,69.55,35.22,111.5,0.0168,2.879999936,-157.48032,0.387840688,-0.411346631,2.047274867,-1.774690718
3,69.43,36.43,121,0.0693,2.564999943,-188.97638,0.416074306,-0.380829103,2.08278537,-1.159266765
9,69.47,34.55,126,0.084,9.259999793,-125.98425,1.069192886,0.029056061,2.100370545,-1.075720714
3,69.75,34.85,127.5,0.063,3.044999932,-125.98425,0.39784199,-0.400289381,2.105510185,-1.200659451
8,78.33,79.17,135,0.21,2.329999948,-62.992126,1.028438091,0.012178154,2.130333768,-0.677780705
9,74.5,60.12,167,0.357,3.349999925,-251.9685,2.62691474,0.419445977,2.222716471,-0.447331784
9,68.852,37.342,5,0.189,9.074999797,0,1.075939059,0.031787674,0.698970004,-0.723538196
9,69.283,36.26,5,0.189,9.184999795,-188.97638,0.829120338,-0.081382432,0.698970004,-0.723538196
9,69.433,36.433,5,0.588,9.194999794,-188.97638,0.732191265,-0.135375457,0.698970004,-0.230622674
9,68.934,37.433,5,0.777,9.254999793,0,0.822048068,-0.085102787,0.698970004,-0.109578981
9,68.4,38.452,17.5,0.126,8.49499981,-62.992126,1.052947402,0.022406677,1.243038049,-0.899629455
9,68.5,38.553,17.5,0.126,8.9699998,-62.992126,1.132198215,0.053922466,1.243038049,-0.899629455
9,68.57,38.619,17.5,0.126,9.239999793,-62.992126,0.976858258,-0.010168448,1.243038049,-0.899629455
9,69.283,36.26,17.5,1.701,9.184999795,-188.97638,0.829120338,-0.081382432,1.243038049,0.230704314
9,69.433,36.433,37.5,0.084,9.194999794,-188.97638,0.732191265,-0.135375457,1.574031268,-1.075720714
7,69.155,36.11,37.5,0.084,11.12999975,-188.97638,1.789934039,0.252837027,1.574031268,-1.075720714
9,68.57,38.619,37.5,1.554,9.239999793,-62.992126,0.976858258,-0.010168448,1.574031268,0.191451014
9,68.852,37.342,64,0.063,9.074999797,0,1.075939059,0.031787674,1.806179974,-1.200659451
9,68.934,37.433,75,0.084,9.254999793,0,0.822048068,-0.085102787,1.875061263,-1.075720714
9,68.5,38.553,80.5,0.042,8.9699998,-62.992126,1.132198215,0.053922466,1.90579588,-1.37675071
7,69.207,36.172,87,0.0105,12.60499972,-188.97638,1.438078642,0.157782636,1.939519253,-1.978810701
9,73,57.77,37.5,99.0336,3.929999912,-31.496063,1.438662291,0.15795886,1.574031268,1.995782567
9,73,58.93,258.5,0.92844,4.224999906,-220.47244,0.855822623,-0.067616238,2.412460547,-0.032246157
3,69.268,36.252,5,4.03164,2.584999942,-188.97638,0.380206168,-0.419980842,0.698970004,0.605481745
3,69.268,36.252,5,4.03164,2.584999942,-188.97638,0.380206168,-0.419980842,0.698970004,0.605481745
7,68.27,39.8,5,4.03164,8.704999805,-94.48819,1.173269153,0.069397652,0.698970004,0.605481745
7,68.27,39.8,5,4.03164,8.704999805,-94.48819,1.173269153,0.069397652,0.698970004,0.605481745
9,69.62,35.38,5,4.03164,9.164999795,-157.48032,0.720656097,-0.142271935,0.698970004,0.605481745
9,69.62,35.38,5,4.03164,9.164999795,-157.48032,0.720656097,-0.142271935,0.698970004,0.605481745
9,69.151,36.102,5,4.03164,8.9349998,-188.97638,1.504974008,0.177528999,0.698970004,0.605481745
9,69.151,36.102,5,4.03164,8.9349998,-188.97638,1.504974008,0.177528999,0.698970004,0.605481745
9,69.43,36.43,5,12.54288,9.194999794,-188.97638,0.732191265,-0.135375457,0.698970004,1.098397267
9,69.43,36.43,5,12.54288,9.194999794,-188.97638,0.732191265,-0.135375457,0.698970004,1.098397267
5,69.28,36.27,5,208.3014,3.179999929,-188.97638,1.037421107,0.01595508,0.698970004,2.318692189
5,69.28,36.27,5,208.3014,3.179999929,-188.97638,1.037421107,0.01595508,0.698970004,2.318692189
3,69.268,36.252,17.5,2.68776,2.584999942,-188.97638,0.380206168,-0.419980842,1.243038049,0.429390486
3,69.268,36.252,17.5,2.68776,2.584999942,-188.97638,0.380206168,-0.419980842,1.243038049,0.429390486
4,68.27,39.8,17.5,2.68776,0.46499999,-94.48819,0.669905424,-0.173986506,1.243038049,0.429390486
4,68.27,39.8,17.5,2.68776,0.46499999,-94.48819,0.669905424,-0.173986506,1.243038049,0.429390486
